"","race_entrant_f_idxs","race_entrant_f_times"
"986","60",2999
"987","17",3278
"988","44",3476
"989","58",3681
"990","55",3869
"991","95",3944
"992","45",4088
"993","96",4176
"994","18",4180
"995","12",4602
"996","60",4744
"997","94",5166
"998","91",5244
"999","55",5668
"1000","88",5871
"1001","100",5925
"1002","71",6095
"1003","57",6156
"1004","93",6242
"1005","45",6892
"1006","5",7070
"1007","30",9806
"1008","78",10992
"1009","95",6534
"1010","17",7296
"1011","29",3563
"1012","18",3602
"1013","4",4324
"1014","17",4928
"1015","71",4943
"1016","16",5153
"1017","96",5915
"1018","75",7243
"1019","64",7849
"1020","4",3290
"1021","29",3391
"1022","44",3500
"1023","71",3782
"1024","95",4226
"1025","29",3350
"1026","96",4407
"1027","4",3376
"1028","44",3427
"1029","48",3649
"1030","17",3983
"1031","59",4766
"1032","26",2497
"1033","105",2564
"1034","70",2758
"1035","16",2800
"1036","58",2830
"1037","62",2839
"1038","69",3104
"1039","44",3148
"1040","34",3152
"1041","25",3167
"1042","72",3207
"1043","74",3216
"1044","46",3248
"1045","12",3275
"1046","95",3283
"1047","97",3291
"1048","98",3390
"1049","86",3538
"1050","49",3544
"1051","64",3561
"1052","51",3575
"1053","48",3612
"1054","93",3727
"1055","90",3789
"1056","78",3937
"1057","106",3966
"1058","59",4007
"1059","94",4114
"1060","104",5642
"1061","91",3288
"1062","96",3361
"1063","48",3621
"1064","95",3744
"1065","101",3979
"1066","78",4748
"1067","59",5341
"1068","60",3500
"1069","72",3777
"1070","57",4062
"1071","4",4230
"1072","92",4284
"1073","90",4337
"1074","5",4424
"1075","58",4502
"1076","99",4627
"1077","93",4712
"1078","44",4757
"1079","12",4811
"1080","46",5583
"1081","74",5624
"1082","32",7022
"1083","16",2756
"1084","24",2785
"1085","98",2987
"1086","90",3003
"1087","44",3030
"1088","70",3090
"1089","105",3095
"1090","55",3096
"1091","99",3213
"1092","26",3237
"1093","92",3285
"1094","95",3353
"1095","51",3395
"1096","62",3402
"1097","5",3406
"1098","93",3466
"1099","59",3485
"1100","25",3490
"1101","58",3572
"1102","18",3610
"1103","74",3641
"1104","35",3965
"1105","69",4116
"1106","30",4199
"1107","97",4200
"1108","94",4434
"1109","106",4826
"1110","4",4181
"1111","44",4267
"1112","58",4718
"1113","48",5510
"1114","55",5893
"1115","45",5902
"1116","4",3772
"1117","65",4141
"1118","48",4469
"1119","4",3899
"1120","65",4850
"1121","18",3647
"1122","105",3718
"1123","65",3890
"1124","95",4046
"1125","60",4107
"1126","16",4107
"1127","62",4141
"1128","94",4157
"1129","72",4194
"1130","100",4305
"1131","91",4395
"1132","5",4489
"1133","73",4984
"1134","9",5026
"1135","36",5035
"1136","12",5064
"1137","57",5131
"1138","93",5266
"1139","71",5302
"1140","7",5307
"1141","34",5555
"1142","30",5848
"1143","45",6562
"1144","55",7671
"1145","18",3337
"1146","105",3971
"1147","91",4098
"1148","60",4231
"1149","71",4729
"1150","93",4784
"1151","45",5044
"1152","92",5380
"1153","5",5474
"1154","44",5571
"1155","12",5582
"1156","26",5593
"1157","48",7099
"1158","78",8548
"1159","11",8794
"1160","39",9756
"1161","36",10744
"1162","91",3701
"1163","29",3759
"1164","4",4046
"1165","71",4253
"1166","69",4333
"1167","24",4661
"1168","98",5110
"1169","65",5494
"1170","55",5974
"1171","3",8117
"1172","46",8766
"1173","34",9347
"1174","36",9654
"1175","65",4109
"1176","60",4390
"1177","65",4259
"1178","60",4457
"1179","95",4621
"1180","44",4628
"1181","45",4760
"1182","105",4857
"1183","24",5687
"1184","55",6467
"1185","78",7086
"1186","24",5361
"1187","105",5844
"1188","44",6403
"1189","17",7523
"1190","58",7763
"1191","45",8718
"1192","48",9113
"1193","16",4402
"1194","65",3254
"1195","100",3315
"1196","29",3629
"1197","9",3630
"1198","51",4075
"1199","64",4126
"1200","48",4479
"1201","41",4747
"1202","97",6100
"1203","8",6575
"1204","104",6771
"1205","60",3813
"1206","91",4197
